_id	quality	qualityColor	equipType	addAttack	addDefend	addAgility	addLuck	addBlood	addBloodPercent	addThew	addDamage	addSkin	sex	autoDirection	sAutoDirection	specialAction	radius	sRadius	expSe	power	bullet	icon	name	info	slot	avatar	typeName	userLevel	canBeRewarded	
254	1	WHITE	139	0	114	34	41	0	0	0	0	114	MALE	0	0	0	0	0	0	181		Male_glass0030	黄金●尖啸的鬼脸	尖啸的鬼脸，渗透着扭曲的恐惧。	GLASSES	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "male_glasses_s030" , "layer" : "glasses"}]	25	40	true	
2540	1	WHITE	138	0	11	8	6	0	0	0	0	11	FEMALE	0	0	0	0	0	0	15		Female_hat0006	黑铁●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	0	true	
2541	1	WHITE	138	0	18	13	10	0	0	0	0	18	FEMALE	0	0	0	0	0	0	25		Female_hat0006	青铜●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	10	true	
2542	1	WHITE	138	0	36	27	20	0	0	0	0	36	FEMALE	0	0	0	0	0	0	54		Female_hat0006	赤钢●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	20	true	
2543	1	WHITE	138	0	55	41	30	0	0	0	0	55	FEMALE	0	0	0	0	0	0	90		Female_hat0006	白银●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	30	true	
2544	1	WHITE	138	0	73	54	41	0	0	0	0	73	FEMALE	0	0	0	0	0	0	129		Female_hat0006	黄金●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	40	true	
2545	1	WHITE	138	0	91	68	51	0	0	0	0	91	FEMALE	0	0	0	0	0	0	173		Female_hat0006	琥珀●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	50	true	
2546	1	WHITE	138	0	111	82	61	0	0	0	0	111	FEMALE	0	0	0	0	0	0	226		Female_hat0006	翡翠●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	60	true	
2547	1	WHITE	138	0	129	95	71	0	0	0	0	129	FEMALE	0	0	0	0	0	0	279		Female_hat0006	水晶●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	70	true	
2548	1	WHITE	138	0	148	109	82	0	0	0	0	148	FEMALE	0	0	0	0	0	0	340		Female_hat0006	钻石●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	80	true	
2549	1	WHITE	138	0	166	123	92	0	0	0	0	166	FEMALE	0	0	0	0	0	0	404		Female_hat0006	神圣●蝴蝶结发卡	上边有一个绿色小蝴蝶	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s006" , "layer" : "hat"}]	254	90	true	
255	1	WHITE	139	0	143	42	51	0	0	0	0	143	MALE	0	0	0	0	0	0	238		Male_glass0030	琥珀●尖啸的鬼脸	尖啸的鬼脸，渗透着扭曲的恐惧。	GLASSES	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "male_glasses_s030" , "layer" : "glasses"}]	25	50	true	
2550	1	WHITE	138	0	12	6	9	0	0	0	0	12	FEMALE	0	0	0	0	0	0	16		Female_hat0007	黑铁●狸猫帽	变，变，变！	HAT	[ { "class" : "com.xinqihd.sns.gameserver.config.equip.WeaponPojo$Avatar" , "id" : "female_hat_s007" , "layer" : "hat"}]	255	0	true	
