龙舟（打一歌曲名)	中国船
龙（打一成语）	充耳不闻
齐楚燕赵皆降服（打《史记》一句）	四国顺之
齐唱（打一成语）	异口同声
鼻子像钩子，耳朵像扇子。大腿像柱子，尾巴像鞭子。（打一动物名	象
鼠年迎春（打一字)	李
鼠头虎尾,猜一字 	儿 
黯（打一成语）	有声有色
黑脸包丞相，坐在大堂上。扯起八卦旗，专拿飞天将。（打一动物名	蜘蛛
黑狗（打一字)	默
黑板报（打一成语）	白字连篇
黄河大合唱（打一歌曲名)	摇篮曲
鹧鸪飞去十里亭 ,猜四个字 	鸾凤和鸣 
鹊巢鸦占（打一成语）	化为乌有
鸿鸟飞（打江西一地名）	余江
鸡又飞了（打一字)	鸟
鸟宿林间不再飞（打《三国演义》人名一)	关羽
鲛人挥泪（打一中草药名)	珍珠散
鲁达当和尚（打一成语）	半路出家
鲁人经商（打《前出师表》一句）	愚以为营中之事
鬼脸儿善变 （打江苏一地名）	兴化
鬼头山（打一字）	嵬
高尔基（打一字）	尚
骡（打一成语）	非驴非马
骑兵凯旋（打一词牌名)	马头调
骇人听闻,猜一个字 	诡 
驿站（打河南一地名)	驻马店
驿外断桥边（打一字）	骄
驼背老公公，胡子乱蓬蓬。生前没有血，死后满身红。（打一动物名	虾
驼峰（打一安徽地名)	马鞍山
驯狗者,猜一字 	狮 
馨香飘逝,闻香无门,猜一字 	声 
香山秋艳（打一中草药名)	一片丹
香凝最解稚儿心（打《滕王阁序》一句）	童子何知
饭（打一字）	糙
饥荒 ,猜一个字 	欲 
飞鸣镝（打一成语）	弦外之音
飞行员（打一成语）	有机可乘
飞花满四邻（打西藏一地名）	谢通门
飞砂走石,猜一字 	少 
飞将军自重霄入（打《滕王阁序》一句）	李广难封
飞将军之子（打《水浒传》人物绰号一)	小李广
风物长宜放眼量（打安徽一地名）	怀远
风儿吐舌头 ,猜一个字 	刮 
风云可测（打《水浒传》人物绰号一)	摸着天
颠鸾倒凤（打一戏剧名)	女驸马
颠三倒四（打一字）	泪
顶破天（打一字）	夫
非正式协定（打一字）	药
静静的顿河（打山西一地名）	文水
静观待变（打福建一地名）	宁化
青龙白虎照秦镜（打一歌曲名)	二泉映月
青梅竹马两无猜（打《前出师表》一句）	亲小人
青梅竹马（打《孙子兵法》一句）	少而往来者
青梅煮酒论英雄（打一歌曲名)	只有你和我
霸王自刎。	翠
雷而无雨,猜一个字 	田 
雷电之后（打一中草药名)	阴阳水
零落成泥碾作尘（打一中草药名)	沉香粉
零存整取（打一成语）	积少成多
雨披（打一成语）	一衣带水
雨（打一字）	池
集资共建，大桥贯通（打重庆一地名）	铜梁
雄踞山寨（打吉林一地名）	公主岭
雄心纵横行无阻（打海南一地名）	通什
雁双飞（打一字）	从
难过皆因负担重（打一中草药名)	薄荷通
难以称呼（打一中草药名)	无名子
除夕残年又逢春（打一字）	桀
陕西人十分好（打一字）	附
陈玉成（打一字）	瑛
阻街女郎,猜一字 	接 
阴曹地府,猜一个字 	块 
阳关一曲续日弹（打《三国演义》人名一)	曹操
防暑降温见成效（打一中草药名)	抗炎灵
阎罗王,猜一字 	瑰 
闻不用耳,猜一个字 	门 
闻不入耳,猜一字 	门 
门里阳光照,门外雨飘飘,猜一个字 	涧 
门外汉（打《论语》一句）	未入于室也
门外来人月已斜,猜一字 	闲 
长跑冠军（打《水浒传》人物绰号一)	神行太保
长胳膊，猴儿脸。大森林里玩得欢。摘野果，捣鹊蛋，抓住树枝荡秋千。（打一动物名	长臂猿
长江后浪推前浪（打西藏一地名）	波密
长明灯 ,猜一个字 	灸 
长得像黄菊，引诱小鱼虾。触手捕食物，舞爪又张牙。（打一动物名	海葵
长安一片月（打《水浒传》人名一)	秦明
长剑在握镇东吴（打《孙子兵法》一句）	因利而制权民
镜中人,猜一字 	入 
镜中人,猜一个字 	入 
银楼,猜一字 	锯 
钱多才可做东（打北京一地名）	大有庄
钦差大臣满天飞（打《红楼梦》人名一)	多官儿
钟馗,猜一字 	瑰 
金银铜铁珠翠钻（打上海一地名）	七宝
金钿遍野（打一中草药名)	地黄
金环银环（打《水浒传》人物绰号一)	两头蛇
金木水火,猜一字 	坎 
金字塔,猜一字 	鑫 
重点干起，秋前方成（打天津一地名）	和平
重新制作（打一中草药名)	再造丸
醉翁之意不在酒（打一歌曲名)	好山好水好地方
酒肉朋友,猜一个字 	饺 
酒中没有水,简直活见鬼,猜一字 	丑 
部位相反,猜一字 	陪 
邮差,猜一字 	储 
那个愿臣虏自认（打贵州一地名）	安顺
遥指红楼是妾家（打一字）	舒
道旁栽草（打一中草药名)	路边青
遇事不求人（打一成语）	自力更生
逢人只说三句话（打一文学名词)	七言绝句
造极摩天（打一中草药名)	千层塔
逐渐繁荣（打《三国演义》人名一)	徐盛
逆水划船（打一成语）	力争上游
送走观音使不得（打一字）	还
退席（打《论语》一句）	不在其位
退休（打《论语》一句）	老者安之
连接各户（打一中草药名)	贯众
连声应允（打一字）	哥
连中三元,猜一字 	车 
远看像黄球，近看毛茸茸。叽叽叽叽叫，最爱吃小虫。（打一动物名	小鸡
远看像只猫，近看是只鸟。晚上捉田鼠，天亮睡大觉。（打一动物名	猫头鹰
远看两个零，近看两个零。有人用了行不得，有人不用不得行。（打一日常用品	眼镜
进洞像龙，出洞像凤。凤生百子，百子成龙。（打一动物名	蚕
进水行不成（打一字）	衍
这一页,猜一字 	题 
返老还童（打一中草药名)	老来少
近朱者赤,猜一字 	赫 
过分要求（打《水浒传》人名一)	索超
边打边谈,猜一字 	订 
辣椒市场（打河北一地名）	辛集
轻骑飞跃（打《三国演义》人名一)	马超
轻描柳叶（打一动物名	画眉
